position,title
Q607982,President
Q52229486,Vice President
Q113992401,Minister of Economy
Q113992402,Minister of Education
Q113992403,Minister of Energy and Mining
Q113992404,Minister of Environment and Natural Resources
Q113992405,Minister of Finance
Q28662562,Minister of Foreign Affairs
Q113992444,"Minister of Housing, Habitat and Buildings"
Q113992406,Minister of Industry and Trade
Q113992408,Minister of Internal Affairs and Police
Q113992409,Minister of Public Health
Q113992410,Minister of Tourism
Q113992411,Attorney General
Q23007339,President of the Chamber of Deputies
